carBrand,carModel,year,price(rub),city,distance(km),engine_capacity(L),fuel_type
Hyundai,Solaris,2017,1240000.0,Москва,128000.0,1.6,"бензин,"
Hyundai,Solaris,2017,1125000.0,Москва,134368.0,1.6,"бензин,"
Hyundai,Solaris,2020,1441000.0,Москва,47160.0,1.6,"бензин,"
Hyundai,Solaris,2018,1210000.0,Москва,111226.0,1.4,"бензин,"
Hyundai,Solaris,2021,1715000.0,Москва,52643.0,1.6,"бензин,"
Hyundai,Solaris,2011,618000.0,Москва,240000.0,1.4,"бензин,"
Hyundai,Solaris,2012,581000.0,Москва,133000.0,1.4,"бензин,"
Hyundai,Solaris,2012,945000.0,Москва,84505.0,1.6,"бензин,"
Hyundai,Solaris,2019,320000.0,Москва,117000.0,1.6,"бензин,"
Hyundai,Solaris,2014,900000.0,Москва,107000.0,1.4,"бензин,"
Hyundai,Solaris,2017,1490000.0,Москва,43342.0,1.4,"бензин,"
Hyundai,Solaris,2014,790000.0,Москва,248319.0,1.6,"бензин,"
Hyundai,Solaris,2016,1140000.0,Москва,62500.0,1.6,"бензин,"
Hyundai,Solaris,2011,821000.0,Москва,142538.0,1.6,"бензин,"
Hyundai,Solaris,2012,592000.0,Москва,472129.0,1.4,"бензин,"
Hyundai,Solaris,2017,1029000.0,Москва,176200.0,1.6,"бензин,"
Hyundai,Solaris,2011,700000.0,Москва,147800.0,1.4,"бензин,"
Hyundai,Solaris,2014,770000.0,Москва,209167.0,1.4,"бензин,"
Hyundai,Solaris,2012,765000.0,Москва,186001.0,1.4,"бензин,"
Hyundai,Solaris,2017,974000.0,Москва,149664.0,1.6,"бензин,"
Hyundai,Solaris,2021,1495000.0,Москва,42082.0,1.6,"бензин,"
Hyundai,Solaris,2021,1235000.0,Москва,118261.0,1.6,"бензин,"
Hyundai,Solaris,2016,945000.0,Москва,154498.0,1.6,"бензин,"
Hyundai,Solaris,2012,745000.0,Москва,345798.0,1.6,"бензин,"
Hyundai,Solaris,2012,641000.0,Москва,289000.0,1.6,"бензин,"
Hyundai,Solaris,2012,930000.0,Москва,83370.0,1.6,"бензин,"
Hyundai,Solaris,2013,949000.0,Москва,92530.0,1.4,"бензин,"
Hyundai,Solaris,2015,784000.0,Москва,156000.0,1.6,"бензин,"
Hyundai,Solaris,2016,1129000.0,Москва,93000.0,1.6,"бензин,"
Hyundai,Solaris,2022,2265000.0,Москва,,1.6,"бензин,"
Hyundai,Solaris,2022,2265000.0,Москва,,1.6,"бензин,"
Hyundai,Solaris,2022,2265000.0,Москва,,1.6,"бензин,"
Hyundai,Solaris,2022,2370000.0,Москва,,1.6,"бензин,"
Hyundai,Solaris,2022,2370000.0,Москва,,1.6,"бензин,"
Hyundai,Solaris,2022,2370000.0,Москва,,1.6,"бензин,"
Hyundai,Solaris,2022,2155000.0,Москва,,1.6,"бензин,"
Hyundai,Solaris,2022,2155000.0,Москва,,1.6,"бензин,"
Hyundai,Solaris,2022,2155000.0,Москва,,1.6,"бензин,"
Hyundai,Solaris,2022,2155000.0,Москва,,1.6,"бензин,"
Hyundai,Solaris,2022,2155000.0,Москва,,1.6,"бензин,"
Hyundai,Solaris,2022,2155000.0,Москва,,1.6,"бензин,"
Hyundai,Solaris,2019,1250700.0,Москва,121640.0,1.4,"бензин,"
Hyundai,Solaris,2018,1425000.0,Москва,89605.0,1.6,"бензин,"
Hyundai,Solaris,2013,680000.0,Москва,174852.0,1.6,"бензин,"
Hyundai,Solaris,2014,880000.0,Москва,190000.0,1.6,"бензин,"
Hyundai,Solaris,2013,699000.0,Москва,233735.0,1.6,"бензин,"
Hyundai,Solaris,2016,910000.0,Москва,138938.0,1.6,"бензин,"
Hyundai,Solaris,2017,1098000.0,Москва,112967.0,1.4,"бензин,"
Hyundai,Solaris,2021,1550000.0,Москва,43000.0,1.6,"бензин,"
Hyundai,Solaris,2015,590000.0,Москва,370000.0,1.4,"бензин,"
Hyundai,Solaris,2021,1785000.0,Москва,34022.0,1.6,"бензин,"
Hyundai,Solaris,2021,1674000.0,Москва,114000.0,1.6,"бензин,"
Hyundai,Solaris,2018,1320000.0,Москва,156825.0,1.6,"бензин,"
Hyundai,Solaris,2011,890000.0,Москва,69800.0,1.4,"бензин,"
Hyundai,Solaris,2017,1080000.0,Москва,119500.0,1.6,"бензин,"
