carBrand,carModel,year,price(rub),city,distance(km),engine_capacity(L),fuel_type
Toyota,Camry,2003,961000.0,Новосибирск,234112.0,2.4,"бензин,"
Toyota,Camry,2011,1549000.0,Новосибирск,291000.0,2.4,"бензин,"
Toyota,Camry,2007,1300000.0,Иркутск,336000.0,2.4,"бензин,"
Toyota,Camry,2011,2000000.0,Барнаул,150000.0,2.5,"бензин,"
Toyota,Camry,2012,1800000.0,Новосибирск,236000.0,2.5,"бензин,"
Toyota,Camry,2008,1359000.0,Сургут,210994.0,2.4,"бензин,"
Toyota,Camry,2002,800000.0,Барнаул,330000.0,2.4,"бензин,"
Toyota,Camry,1994,390000.0,Усть-Кут,550000.0,2.0,"бензин,"
Toyota,Camry,2018,2449999.0,Санкт-Петербург,129599.0,2.5,"бензин,"
Toyota,Camry,1996,350000.0,Искитим,1.0,2.0,"бензин,"
Toyota,Camry,2012,1750000.0,Томск,197000.0,2.5,"бензин,"
Toyota,Camry,2015,2369000.0,Сургут,221000.0,3.5,"бензин,"
Toyota,Camry,2019,3000000.0,Томск,74136.0,2.5,"бензин,"
Toyota,Camry,2019,2940000.0,Томск,85034.0,2.5,"бензин,"
Toyota,Camry,2018,2650000.0,Новосибирск,75000.0,2.5,"бензин,"
Toyota,Camry,2014,1848000.0,Красноярск,187000.0,2.5,"бензин,"
Toyota,Camry,1997,120000.0,Абакан,10000.0,1.8,"бензин,"
Toyota,Camry,1993,90000.0,Черногорск,111111.0,1.8,"бензин,"
Toyota,Camry,2013,1630000.0,Новосибирск,224000.0,2.5,"бензин,"
Toyota,Camry,2002,790000.0,Барнаул,233000.0,2.4,"бензин,"
Toyota,Camry,2003,949000.0,Омск,250000.0,2.4,"бензин,"
Toyota,Camry,2008,1330000.0,Уссурийск,230633.0,2.4,"бензин,"
Toyota,Camry,2006,1000000.0,Владивосток,256600.0,2.4,"бензин,"
Toyota,Camry,1994,320000.0,Новосибирск,491000.0,2.2,"бензин,"
Toyota,Camry,2002,740000.0,Новосибирск,270000.0,2.4,"бензин,"
Toyota,Camry,2003,865000.0,Ханты-Мансийск,299000.0,2.4,"бензин,"
Toyota,Camry,2019,3275000.0,Минеральные Воды,38000.0,2.5,"бензин,"
Toyota,Camry,2012,1999000.0,Новосибирск,108000.0,2.5,"бензин,"
Toyota,Camry,2005,999000.0,Бийск,335717.0,2.4,"бензин,"
Toyota,Camry,1996,278000.0,Иркутск,107000.0,1.8,"бензин,"
Toyota,Camry,1993,340000.0,Абакан,100000.0,1.8,"бензин,"
Toyota,Camry,2007,1250000.0,Хабаровск,275478.0,2.4,"бензин,"
Toyota,Camry,2012,1599999.0,Владивосток,260000.0,2.5,"гибрид,"
Toyota,Camry,2015,2200000.0,Якутск,143000.0,2.5,"бензин,"
Toyota,Camry,2001,620000.0,Барнаул,300000.0,2.0,"бензин,"
Toyota,Camry,2015,2499000.0,Новосибирск,190000.0,2.5,"бензин,"
Toyota,Camry,2008,1450000.0,Михайловское,340000.0,2.4,"бензин,"
Toyota,Camry,2002,777000.0,Усть-Абакан,289000.0,2.0,"бензин,"
Toyota,Camry,2012,1757000.0,Красноярск,178000.0,2.5,"бензин,"
Toyota,Camry,2017,1930000.0,Гурьевск,69000.0,2.5,"бензин,"
Toyota,Camry,2014,2297000.0,Новосибирск,180876.0,2.5,"бензин,"
Toyota,Camry,2006,1099000.0,Новосибирск,337570.0,2.4,"бензин,"
Toyota,Camry,2005,1119995.0,Новокузнецк,230794.0,2.4,"бензин,"
Toyota,Camry,2011,1850000.0,Новосибирск,173567.0,2.4,"бензин,"
Toyota,Camry,2014,2350000.0,Новосибирск,138000.0,2.5,"бензин,"
Toyota,Camry,2005,1115000.0,Новосибирск,252874.0,2.4,"бензин,"
Toyota,Camry,2012,2100000.0,Улан-Удэ,250000.0,2.5,"бензин,"
Toyota,Camry,2015,2549000.0,Красноярск,127000.0,2.5,"бензин,"
