carBrand,carModel,year,price(rub),city,distance(km),engine_capacity(L),fuel_type
Лада,Гранта,2024,1022000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2023,2279000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2024,1067000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2024,1078000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2024,1022000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2021,920000.0,Екатеринбург,45600.0,1.6,"бензин,"
Лада,Гранта,2024,1022000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2024,1037000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2015,750000.0,Екатеринбург,220000.0,1.6,"бензин,"
Лада,Гранта,2017,559700.0,Екатеринбург,114599.0,1.6,"бензин,"
Лада,Гранта,2016,450000.0,Екатеринбург,180000.0,1.6,"бензин,"
Лада,Гранта,2024,1360600.0,Екатеринбург,1.0,1.6,"бензин,"
Лада,Гранта,2015,615000.0,Екатеринбург,70000.0,1.6,"бензин,"
Лада,Гранта,2015,549000.0,Екатеринбург,103000.0,1.6,"бензин,"
Лада,Гранта,2012,438000.0,Екатеринбург,137000.0,1.6,"бензин,"
Лада,Гранта,2024,1067000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2018,560000.0,Екатеринбург,120000.0,1.6,"бензин,"
Лада,Гранта,2022,860000.0,Екатеринбург,30000.0,1.6,"бензин,"
Лада,Гранта,2019,707250.0,Екатеринбург,90490.0,1.6,"бензин,"
Лада,Гранта,2024,1037000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2012,410000.0,Екатеринбург,161.0,1.6,"бензин,"
Лада,Гранта,2019,600000.0,Екатеринбург,124000.0,1.6,"бензин,"
Лада,Гранта,2019,629000.0,Екатеринбург,142951.0,1.6,"бензин,"
Лада,Гранта,2016,479000.0,Екатеринбург,163962.0,1.6,"бензин,"
Лада,Гранта,2018,690000.0,Екатеринбург,82778.0,1.6,"бензин,"
Лада,Гранта,2012,290000.0,Екатеринбург,190000.0,1.6,"бензин,"
Лада,Гранта,2012,470000.0,Екатеринбург,135000.0,1.6,"бензин,"
Лада,Гранта,2024,1078000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2017,528000.0,Екатеринбург,218000.0,1.6,"бензин,"
Лада,Гранта,2023,1799000.0,Екатеринбург,5000.0,1.6,"бензин,"
Лада,Гранта,2023,1065000.0,Екатеринбург,5000.0,1.6,"бензин,"
Лада,Гранта,2013,520000.0,Екатеринбург,87000.0,1.6,"бензин,"
Лада,Гранта,2016,300000.0,Екатеринбург,113000.0,1.6,"бензин,"
Лада,Гранта,2018,765000.0,Екатеринбург,101000.0,1.6,"бензин,"
Лада,Гранта,2020,700000.0,Екатеринбург,88286.0,1.6,"бензин,"
Лада,Гранта,2013,529000.0,Екатеринбург,180000.0,1.6,"бензин,"
Лада,Гранта,2024,992000.0,Екатеринбург,,1.6,"бензин,"
Лада,Гранта,2018,590000.0,Екатеринбург,134000.0,1.6,"бензин,"
Лада,Гранта,2023,1025000.0,Екатеринбург,7151.0,1.6,"бензин,"
Лада,Гранта,2020,759000.0,Екатеринбург,88422.0,1.6,"бензин,"
Лада,Гранта,2020,920000.0,Екатеринбург,33000.0,1.6,"бензин,"
Лада,Гранта,2019,815000.0,Екатеринбург,68895.0,1.6,"бензин,"
Лада,Гранта,2018,455000.0,Екатеринбург,204674.0,1.6,"бензин,"
